Step,Balance,Shares Held,Net Worth,Profit
164,55.54,39.0,11287.54,1287.54
165,55.54,39.0,11243.47,1243.47
166,55.54,39.0,11322.25,1322.25
167,55.54,39.0,11466.16,1466.16
168,11461.09,0,11461.09,1461.09
169,11461.09,0,11461.09,1461.09
170,11461.09,0,11461.09,1461.09
171,11461.09,0,11461.09,1461.09
172,11461.09,0,11461.09,1461.09
173,129.49,38.0,11461.09,1461.09
174,129.49,38.0,11458.43,1458.43
175,129.49,38.0,11538.99,1538.99
176,129.49,38.0,11578.51,1578.51
177,129.49,38.0,11570.91,1570.91
178,129.49,38.0,11535.57,1535.57
179,129.49,38.0,11564.45,1564.45
180,129.49,38.0,11571.29,1571.29
181,129.49,38.0,11570.53,1570.53
182,11464.13,0,11464.13,1464.13
183,11464.13,0,11464.13,1464.13
184,11464.13,0,11464.13,1464.13
185,11464.13,0,11464.13,1464.13
186,11464.13,0,11464.13,1464.13
187,11464.13,0,11464.13,1464.13
188,186.87,38.0,11464.13,1464.13
189,186.87,38.0,11329.99,1329.99
190,11133.15,0,11133.15,1133.15
191,97.19,38.0,11133.15,1133.15
192,97.19,38.0,11282.49,1282.49
193,97.19,38.0,11234.23,1234.23
194,11061.33,0,11061.33,1061.33
195,284.34,37.0,11061.33,1061.33
196,11134.22,0,11134.22,1134.22
197,11134.22,0,11134.22,1134.22
198,184.07,37.0,11134.22,1134.22
199,184.07,37.0,11242.63,1242.63
200,184.07,37.0,11224.87,1224.87
201,11257.43,0,11257.43,1257.43
202,11257.43,0,11257.43,1257.43
203,157.8,37.0,11257.43,1257.43
204,157.8,37.0,11221.17,1221.17
205,157.8,37.0,11253.36,1253.36
206,11271.49,0,11271.49,1271.49
207,11271.49,0,11271.49,1271.49
208,49.39,37.0,11271.49,1271.49
209,49.39,37.0,11268.16,1268.16
210,49.39,37.0,11302.57,1302.57
211,49.39,37.0,11272.6,1272.6
212,49.39,37.0,11376.57,1376.57
213,49.39,37.0,11422.08,1422.08
214,11409.5,0,11409.5,1409.5
215,11409.5,0,11409.5,1409.5
216,6.84,37.0,11409.5,1409.5
217,6.84,37.0,11437.62,1437.62
218,6.84,37.0,11415.79,1415.79
219,11439.84,0,11439.84,1439.84
220,3.14,37.0,11439.84,1439.84
221,3.14,37.0,11456.49,1456.49
222,3.14,37.0,11539.37,1539.37
223,11547.88,0,11547.88,1547.88
224,11547.88,0,11547.88,1547.88
225,49.39,37.0,11547.88,1547.88
226,49.39,37.0,11529.38,1529.38
227,11554.91,0,11554.91,1554.91
228,11554.91,0,11554.91,1554.91
229,11554.91,0,11554.91,1554.91
230,197.63,36.0,11554.91,1554.91
